Pokedex Number,Name,Type,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base Total
477,Dusknoir,Ghost ,45,100,135,65,135,45,525
478,Froslass,Ice Ghost,70,80,70,80,70,110,480
479,Rotom,Electric Ghost,50,50,77,95,77,91,440
479,Rotom Heat Rotom,Electric Fire,50,65,107,105,107,86,520
479,Rotom Wash Rotom,Electric Water,50,65,107,105,107,86,520
479,Rotom Frost Rotom,Electric Ice,50,65,107,105,107,86,520
479,Rotom Fan Rotom,Electric Flying,50,65,107,105,107,86,520
479,Rotom Mow Rotom,Electric Grass,50,65,107,105,107,86,520
480,Uxie,Psychic ,75,75,130,75,130,95,580
481,Mesprit,Psychic ,80,105,105,105,105,80,580
482,Azelf,Psychic ,75,125,70,125,70,115,580
483,Dialga,Steel Dragon,100,120,120,150,100,90,680
484,Palkia,Water Dragon,90,120,100,150,120,100,680
485,Heatran,Fire Steel,91,90,106,130,106,77,600
486,Regigigas,Normal ,110,160,110,80,110,100,670
487,Giratina Altered Forme,Ghost Dragon,150,100,120,100,120,90,680
487,Giratina Origin Forme,Ghost Dragon,150,120,100,120,100,90,680
488,Cresselia,Psychic ,120,70,110,75,120,85,580
489,Phione,Water ,80,80,80,80,80,80,480
490,Manaphy,Water ,100,100,100,100,100,100,600
491,Darkrai,Dark ,70,90,90,135,90,125,600
492,Shaymin Land Forme,Grass ,100,100,100,100,100,100,600
492,Shaymin Sky Forme,Grass Flying,100,103,75,120,75,127,600
493,Arceus,Normal ,120,120,120,120,120,120,720
